,id,name,Unnamed: 0,amenities_0,amenities_1,amenities_2,availability,roomleft,dis_from_des,latitude,longitude,free_cancel,pay_later,price_display,price_original,discount_percent,review_score,review_superlative,review_count,vip
0,19164,Centara Grand at Central Plaza Ladprao Bangkok,0,pool,,,True,,5.12,13.817823,100.559979,FREE_CANCEL,PAY_LATER,75.0,88.0,15.0,4.2,Very Good,1000,
1,21472564,Bangkok Marriott Hotel The Surawongse,1,pool,,,True,5.0,1.67,13.727201,100.52241,FREE_CANCEL,PAY_LATER,136.0,,,4.7,Exceptional,568,
2,4136489,The St Regis Bangkok,2,pool,,,True,5.0,0.59,13.739901,100.53989,FREE_CANCEL,PAY_LATER,236.0,,,4.6,Wonderful,519,
3,6641611,Mandarin Hotel Managed by Centre Point,3,pool,,,True,7.0,1.15,13.733228,100.527224,,,46.0,115.0,60.0,4.3,Excellent,1001,VIP Access
4,46062704,ASAI Bangkok Chinatown,4,,,,True,2.0,1.71,13.741499,100.51128,FREE_CANCEL,PAY_LATER,38.0,,,4.8,Exceptional,74,VIP Access
5,19849250,Solitaire Bangkok Sukhumvit 11,5,pool,,,True,,1.45,13.745355,100.557451,,,46.0,63.0,27.0,4.3,Excellent,933,VIP Access
6,82964623,12 The Residence Hotel & Apartment,6,,,,True,5.0,13.11,13.926717,100.60023,,,20.0,21.0,5.0,4.8,Exceptional,4,
7,19699340,Travelodge Sukhumvit 11,7,pool,,,True,,1.45,13.744965,100.557408,FREE_CANCEL,PAY_LATER,35.0,47.0,25.0,4.4,Excellent,1000,
8,78313589,Ascott Embassy Sathorn,8,pool,,,True,,1.7,13.72295,100.535469,FREE_CANCEL,PAY_LATER,93.0,110.0,15.0,0.0,,0,
9,78745641,The One Smart Living & Safety,9,,,,True,,9.3,13.718306,100.671215,FREE_CANCEL,PAY_LATER,34.0,57.0,40.0,0.0,,0,
10,4815779,Vismaya Suvarnabhumi Hotel,10,pool,,,True,,13.6,13.70901,100.734801,FREE_CANCEL,PAY_LATER,25.0,27.0,10.0,3.8,Good,999,
11,4225452,PARK PLAZA BANGKOK SOI 18,11,pool,hot_tub,,True,,2.06,13.732914,100.562814,,,44.0,,,4.4,Excellent,1001,VIP Access
12,3347945,JC Kevin Sathorn Bangkok Hotel,12,pool,,,True,3.0,2.18,13.716216,100.531622,,,49.0,,,4.3,Excellent,1000,VIP Access
13,2794915,Furama Silom Bangkok Hotel ,13,pool,,,True,,1.71,13.725151,100.525243,FREE_CANCEL,,30.0,,,3.9,Good,995,
14,12579398,Red Planet Bangkok Surawong,14,,,,True,,1.44,13.728634,100.526959,,,23.0,40.0,43.0,4.2,Very Good,1001,
15,22571804,Eastin Thana City Golf Resort Bangkok,15,pool,,,True,,15.07,13.641084,100.73192,,,35.0,49.0,30.0,4.5,Wonderful,391,
16,20211,The Landmark Bangkok,16,pool,,,True,,1.29,13.741183,100.554071,FREE_CANCEL,PAY_LATER,92.0,230.0,60.0,4.5,Wonderful,1000,VIP Access
17,7578807,Ruamchitt Plaza Hotel,17,pool,,,True,,1.58,13.738913,100.557886,FREE_CANCEL,PAY_LATER,22.0,,,3.9,Good,999,
18,27517044,Novotel Bangkok Sukhumvit 4,18,pool,,,True,,1.29,13.738749,100.553058,,,58.0,,,4.3,Excellent,609,
19,1941991,Grande Centre Point Hotel Ratchadamri,19,,,,True,,0.52,13.741601,100.540888,FREE_CANCEL,,66.0,111.0,40.0,4.4,Excellent,1000,
20,8419773,At Residence Suvarnabhumi Hotel,20,,,,True,,13.36,13.721308,100.733233,FREE_CANCEL,,37.0,,,4.5,Wonderful,999,
21,12883153,Hotel Clover Asoke,21,pool,,,True,,1.9,13.734444,100.560889,FREE_CANCEL,,43.0,,,4.5,Wonderful,998,
22,10290254,Amara Bangkok,22,pool,,,True,,1.39,13.729094,100.527492,FREE_CANCEL,PAY_LATER,74.0,82.0,10.0,4.5,Wonderful,1000,
23,21417326,The Park Nine Hotel Suvarnabhumi,23,pool,,,True,2.0,12.74,13.722206,100.724003,FREE_CANCEL,PAY_LATER,55.0,98.0,44.0,4.4,Excellent,664,
24,1512570,Shanghai Mansion Bangkok,24,,,,True,,1.76,13.739752,100.511025,,,36.0,,,4.4,Excellent,996,
25,15068158,Lancaster Bangkok,25,pool,,,True,,2.1,13.748763,100.567345,,,78.0,98.0,20.0,4.7,Exceptional,742,VIP Access
26,8987284,Citrus Sukhumvit 11 Bangkok by Compass Hospitality,26,,,,True,,1.43,13.74447,100.55704,FREE_CANCEL,,27.0,35.0,23.0,4.2,Very Good,420,
27,11733303,Galleria 12 Sukhumvit Bangkok by Compass Hospitality ,27,pool,,,True,,1.71,13.735146,100.558057,FREE_CANCEL,,24.0,,,4.0,Very Good,450,
28,49166402,ibis Styles Bangkok Silom,28,pool,,,True,,1.37,13.727856,100.532942,FREE_CANCEL,,42.0,,,4.8,Exceptional,11,
29,14955,Anantara Siam Bangkok Hotel,29,pool,hot_tub,,True,,0.53,13.74097,100.540007,FREE_CANCEL,PAY_LATER,148.0,,,4.5,Wonderful,998,VIP Access
30,20404,Bangkok Marriott Marquis Queen’s Park,30,pool,hot_tub,,True,5.0,2.33,13.730365,100.565835,FREE_CANCEL,PAY_LATER,137.0,,,4.3,Excellent,727,
31,41173975,Ibis Bangkok Sukhumvit 24,31,,,,True,,2.58,13.729231,100.569572,,,39.0,,,4.4,Excellent,184,
32,7678500,Holiday Inn Express Bangkok Sathorn,32,free_breakfast,,,True,,1.66,13.724038,100.530676,FREE_CANCEL,PAY_LATER,42.0,,,4.3,Excellent,999,
33,7811824,Casa Nithra Bangkok,33,pool,,,True,,2.7,13.765892,100.50057,FREE_CANCEL,,30.0,33.0,10.0,4.5,Wonderful,995,
34,82578727,Grand BS Airport Hotel Suvarnabhumi,34,pool,,,True,,13.8,13.71955,100.739559,FREE_CANCEL,PAY_LATER,27.0,42.0,35.0,3.8,Good,19,
35,22883,Rembrandt Hotel & Suites Bangkok,35,pool,,,True,,2.09,13.732417,100.563012,,,46.0,93.0,50.0,4.2,Very Good,1000,VIP Access
36,18896457,Lamphu Tree House Boutique Hotel,36,pool,,,True,,2.41,13.760422,100.502585,FREE_CANCEL,PAY_LATER,23.0,,,4.2,Very Good,223,
37,4637016,Suvarnabhumi Suite,37,pool,,,True,5.0,16.09,13.722992,100.774406,FREE_CANCEL,,33.0,,,3.6,Good,949,
38,15800656,Grande Centre Point Sukhumvit 55,38,pool,,,True,,3.29,13.73169,100.582211,FREE_CANCEL,PAY_LATER,73.0,110.0,33.0,4.5,Wonderful,1000,
39,6879976,iSanook Bangkok,39,pool,,,True,,1.41,13.732477,100.521804,,,38.0,71.0,47.0,4.4,Excellent,999,VIP Access
40,2339868,Bandara Suites Silom,40,pool,,,True,,1.51,13.725735,100.538315,FREE_CANCEL,PAY_LATER,56.0,93.0,40.0,4.3,Excellent,999,
41,10229934,Dwella Suvarnabhumi,41,,,,True,,13.55,13.711625,100.73455,FREE_CANCEL,,13.0,36.0,63.0,3.7,Good,878,
42,4523909,SO/ Bangkok,42,pool,hot_tub,,True,,1.57,13.725894,100.543147,FREE_CANCEL,,135.0,,,4.5,Wonderful,998,
43,3867197,Novotel Bangkok Silom Road,43,pool,,,True,,2.04,13.723167,100.518686,,,44.0,,,4.0,Very Good,1000,
44,35453453,"Divalux Resort & Spa Bangkok, Suvarnabhumi",44,pool,,,True,4.0,17.67,13.692698,100.793222,,,40.0,73.0,45.0,4.1,Very Good,155,
45,49286,Avani Atrium Bangkok Hotel,45,,,,True,,2.3,13.746977,100.570222,,,49.0,62.0,20.0,4.1,Very Good,996,VIP Access
46,13978,Shangri-La Bangkok,46,pool,,,True,,2.35,13.720956,100.514101,,,146.0,,,4.5,Wonderful,1000,
47,42061207,"Kimpton Maa-Lai Bangkok, an IHG Hotel",47,pool,,,True,,0.87,13.737376,100.54383,FREE_CANCEL,PAY_LATER,205.0,216.0,5.0,4.8,Exceptional,29,VIP Access
48,2461254,ibis Bangkok Sukhumvit 4,48,,,,True,,1.33,13.737933,100.55318,,,27.0,,,3.9,Good,998,
49,41173971,Mercure Bangkok Sukhumvit 24,49,pool,,,True,,2.57,13.729275,100.569443,,,59.0,,,4.3,Excellent,170,
50,55349433,The Quarter Silom by UHG,50,pool,,,True,,1.38,13.728247,100.530691,,,65.0,82.0,20.0,4.4,Excellent,36,
51,2802094,The Cottage Suvarnabhumi,51,pool,,,True,,12.75,13.72103,100.723999,FREE_CANCEL,,21.0,,,3.8,Good,1000,
